family_id,nome_familia_provisorio,categoria_aprovada,quantidade_de_skus,skus_bloqueados,tem_nome_funcional,tem_categoria,tem_aplicacao,tem_segmento,tem_atributos,politica_de_imagem,skus_com_imagem,nivel_de_confianca,readiness,bloqueio,acao_para_liberar
FAM-022,Balanças suspensas e dinamômetros para aves,"Pesagem, medição e controle",3,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),3,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-023,Balanças eletrônicas para aves,"Pesagem, medição e controle",5,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),5,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-024,Balanças para ovos,"Pesagem, medição e controle",3,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),3,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-025,Balanças de precisão de bolso,"Pesagem, medição e controle",1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-026,Termômetros,"Pesagem, medição e controle",4,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),4,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-027,Medidores e testes de qualidade da água,"Pesagem, medição e controle",3,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),3,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-028,Testes de qualidade do ambiente,"Pesagem, medição e controle",1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-029,Equipamentos para ovoscopia,"Pesagem, medição e controle",1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,MEDIA,READY_WITH_PENDING_CONTENT,,aprovar classificacao proposta
FAM-030,Câmeras termográficas,"Pesagem, medição e controle",1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,MEDIA,READY_WITH_PENDING_CONTENT,,aprovar classificacao proposta
FAM-031,Lâminas para debicagem,"Peças, reposição e automação",3,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),3,ALTA,READY_WITH_PENDING_CONTENT,,aprovar classificacao proposta
FAM-032,Peças e componentes — não identificados,"Peças, reposição e automação",28,,NAO,SIM,NAO,SIM,SIM,placeholder D-033,4,BAIXA,BLOCKED_BY_MISSING_DATA,BLOCKED_BY_MISSING_DATA,obter nome/funcao na fonte
FAM-033,Bebedouros pendulares para aves,"Manejo, alimentação e biossegurança",4,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),4,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-034,Comedouros para aves,"Manejo, alimentação e biossegurança",4,,SIM,SIM,SIM,SIM,SIM,placeholder D-033,1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-035,Niples para bebedouro,"Manejo, alimentação e biossegurança",1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-036,Armadilhas para roedores,"Manejo, alimentação e biossegurança",2,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),2,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-037,Adesivos e colas para captura,"Manejo, alimentação e biossegurança",2,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),2,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-038,Contadores manuais para aves,"Manejo, alimentação e biossegurança",1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-039,Consumíveis de assepsia e apoio,"Manejo, alimentação e biossegurança",3,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),3,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-040,Conjunto para aplicação de tuberculina,Linhas complementares,4,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),4,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-041,Monitores e analisadores portáteis,Linhas complementares,3,BV005,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),3,ALTA,BLOCKED_BY_IDENTITY,BLOCKED_BY_IDENTITY,aprovar renomeacao funcional (R-05/D-035)
FAM-042,Seringas para insulina,Linhas complementares,1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
FAM-043,Imãs intra-ruminais,Linhas complementares,1,,SIM,SIM,SIM,SIM,SIM,imagem por SKU (quarentena),1,ALTA,READY_FOR_STAGE_3,,aprovar classificacao proposta
