family_id,nome_familia_provisorio,nome_familia_original,prefixos_associados,skus_associados,quantidade_de_skus,segmento_principal,segmentos_secundarios,categoria_aprovada,subcategoria_proposta,aplicacao_principal,aplicacoes_secundarias,solucao_relacionada,tipo_de_pagina,deve_aparecer_no_catalogo,deve_aparecer_na_home,possui_imagem_aprovada,usara_placeholder,filtros_possiveis,atributos_variaveis,fonte_principal,localizacao_da_evidencia,tipo_de_evidencia,nivel_de_confianca,status_da_classificacao,divergencias,dependencias,decisao_necessaria,observacoes
FAM-029,Equipamentos para ovoscopia,LANTERNA PARA OVOSCOPIA,VR,VR012,1,Avicultura,,"Pesagem, medição e controle",Ovoscopia,ovoscopia,incubação|inspeção,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,
FAM-030,Câmeras termográficas,CÂMERA TERMOGRAFICA PARA AVES,VR,VR013,1,Avicultura,,"Pesagem, medição e controle",Termografia,monitoramento,controle de temperatura|inspeção,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,
FAM-031,Lâminas para debicagem,LAMINA DE REPASSE KH|LAMINA EM CORTE V|LAMINA RETA BC,LM,LM001|LM002|LM003,3,Avicultura,,"Peças, reposição e automação",Lâminas,debicagem,reposição|manutenção,Reposição e manutenção,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p5 pdf-complementar p6 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-032,Peças e componentes — não identificados,,PE,PE004|PE006|PE007|PE008|PE009|PE010|PE013|PE016|PE028|PE029|PE030|PE031|PE037|PE039|PE041|PE045|PE047|PE048|PE062|PE063|PE064|PE065|PE066|PE075|PE076|PE077|PE078|PE079,28,Avicultura,,"Peças, reposição e automação",,,,Reposição e manutenção,NAO_PUBLICAVEL_NA_V1,NAO,NAO,NAO,SIM,categoria|aplicacao|segmento|medida,medida,S-02/CSV|S-03/PDF, pdf-complementar p6| pdf-complementar p7| pdf-complementar p8| pdf-complementar p9|pdf-publicado p10 pdf-complementar p8|pdf-publicado p7 pdf-complementar p9,UNCLASSIFIED,BAIXA,NÃO_CLASSIFICADA,,DEP-01,DECT-dados,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-033,Bebedouros pendulares para aves,BEBEDOUROS PARA AVES COM GANCHO DE METAL|BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,BB,BB001|BB002|BB003|BB004,4,Avicultura,,"Manejo, alimentação e biossegurança",Bebedouros,hidratação,manejo|alimentação,Manejo e biossegurança,PT-05 Familia de produto,SIM,SIM,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p4 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-034,Comedouros para aves,COMEDOURO PARA AVES COM GANCHO PLÁSTICO,CO,CO001|CO002|CO003|CO004,4,Avicultura,,"Manejo, alimentação e biossegurança",Comedouros,alimentação,manejo,Manejo e biossegurança,PT-05 Familia de produto,SIM,SIM,NAO,SIM,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p4 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-035,Niples para bebedouro,NIPLE BEBEDOURO MEDIA VAZÃO,VR,VR007,1,Avicultura,,"Manejo, alimentação e biossegurança",Bebedouros,hidratação,reposição|manutenção,Manejo e biossegurança,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p10 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-036,Armadilhas para roedores,ARMADILHA PARA ROEDORES|ARMADILHA TÚNEL,AR,AR001|AR003,2,Avicultura,,"Manejo, alimentação e biossegurança",Controle de pragas,controle de pragas,biossegurança,Manejo e biossegurança,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p8 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-037,Adesivos e colas para captura,ADESIVO COLA 450x155MM|ADESIVO PARA ROEDORES,AR,AR002|AR004,2,Avicultura,,"Manejo, alimentação e biossegurança",Controle de pragas,controle de pragas,biossegurança,Manejo e biossegurança,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p8 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-038,Contadores manuais para aves,CONTADOR MANUAL PARA AVES,VR,VR010,1,Avicultura,,"Manejo, alimentação e biossegurança",Manejo,manejo,monitoramento,Manejo e biossegurança,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p10 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-039,Consumíveis de assepsia e apoio,GAZE 11 FIOS|SORO FISIOLOGICO 500ML|ÁLCOOL SWAB 70% - 100 UN,VR,VR005|VR006|VR009,3,Avicultura,,"Manejo, alimentação e biossegurança",Consumíveis,biossegurança,manejo|aplicação,Manejo e biossegurança,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p10 csv|pdf-publicado p9 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-040,Conjunto para aplicação de tuberculina,AGULHA INOX 04 X 08 TUBERCULINA|BARRA DOSADORA TUBERCULINA|CILINDRO GRADUADO TUBERCULINA|KIT DE REPARO TUBERCULINA,BV,BV001|BV002|BV003|BV004,4,Bovinocultura,,Linhas complementares,Bovinocultura,aplicação,vacinação|manejo,Linhas complementares,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p8 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-041,Monitores e analisadores portáteis,ANALISADOR DE HEMOGLOBINA|MONITOR FREESTYLE OPTIUM NEO|TIRAS MONITORAMENTO CETONA 10UN,BV,BV005|BV006|BV007,3,Bovinocultura,,Linhas complementares,Bovinocultura,monitoramento,medição|manejo,Linhas complementares,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p8 csv|pdf-publicado p9 csv,SOURCE_EXPLICIT,ALTA,BLOQUEADA,,DEP-01,DECT-marca,1 SKU(s) com marca de terceiro no nome original (R-05/D-035): renomear por funcao
FAM-042,Seringas para insulina,SERINGA PARA INSULINA 1ML - 100 UN,BV,BV008,1,Bovinocultura,,Linhas complementares,Bovinocultura,aplicação,manejo,Linhas complementares,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p9 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-043,Imãs intra-ruminais,IMÃ INTRA RUMINAL,BV,BV009,1,Bovinocultura,,Linhas complementares,Bovinocultura,manejo,biossegurança,Linhas complementares,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p9 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
