internal_id,sku_original,codigo_publico_proposto,nome_original,familia_proposta,family_id,categoria_herdada,aplicacao_principal_herdada,segmento_herdado,excecao_de_segmento,excecao_de_categoria,excecao_de_aplicacao,medida,capacidade,variacao,imagem,status_imagem,status_codigo,status_dado,publicavel,motivo_do_bloqueio,fonte,nivel_confianca,aprovacao_necessaria
PROD-0135,SE004,SE004,SERINGA,Seringas descartáveis,FAM-009,Vacinação e aplicação,aplicação,Avicultura,,,,60 ML SEM AGULHA,,60 ML SEM AGULHA,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0136,SE005,SE005,SERINGA,Seringas descartáveis,FAM-009,Vacinação e aplicação,aplicação,Avicultura,,,,10 ML SEM AGULHA,,10 ML SEM AGULHA,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0139,SR003,SR003,"SERINGA SOCOREX 0,5 ML",Seringas automáticas de precisão (linha importada),FAM-010,Vacinação e aplicação,vacinação,Avicultura,,,,,,,"IMG-0024,IMG-0087,IMG-0158",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0141,SR005,SR005,SERINGA SOCOREX DUPLA,Seringas automáticas de precisão (linha importada),FAM-010,Vacinação e aplicação,vacinação,Avicultura,,,,"2 X 0,5 ML",,"2 X 0,5 ML","IMG-0026,IMG-0089,IMG-0160",EM_QUARENTENA,UNICO,COMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0142,SR006,SR006,SERINGA SOCOREX DUPLA,Seringas automáticas de precisão (linha importada),FAM-010,Vacinação e aplicação,vacinação,Avicultura,,,,2 X 1 ML,,2 X 1 ML,IMG-0027,EM_QUARENTENA,UNICO,COMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0148,SR012,SR012,"SERINGA SOCOREX ULTRA 0,5 ML",Seringas automáticas de precisão (linha importada),FAM-010,Vacinação e aplicação,vacinação,Avicultura,,,,,,,"IMG-0032,IMG-0164",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0137,SR001,SR001,CILINDRO GRADUADO SOCOREX,Cilindros graduados para seringas automáticas,FAM-011,Vacinação e aplicação,vacinação,Avicultura,,,,"0,5 ML COM EMBOLO",,"0,5 ML COM EMBOLO","IMG-0022,IMG-0156",EM_QUARENTENA,UNICO,COMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0144,SR008,SR008,CILINDRO GRADUADO SOCOREX,Cilindros graduados para seringas automáticas,FAM-011,Vacinação e aplicação,vacinação,Avicultura,,,,"0,5 ML",,"0,5 ML",IMG-0028,EM_QUARENTENA,UNICO,COMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0145,SR009,SR009,CILINDRO GRADUADO SOCOREX,Cilindros graduados para seringas automáticas,FAM-011,Vacinação e aplicação,vacinação,Avicultura,,,,1 ML,,1 ML,IMG-0029,EM_QUARENTENA,UNICO,COMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0138,SR002,SR002,"KIT REPARO DA SERINGA SOCOREX 0,5 ML",Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0023,IMG-0157",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0140,SR004,SR004,"SOQUETE SERINGA SOCOREX 0,5-1 ML",Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0025,IMG-0088,IMG-0159",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0143,SR007,SR007,UNIÃO DE PONTAS - SOCOREX DUPLA,Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0090,IMG-0161",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0146,SR010,SR010,"MOLA DO EMBOLO SOCOREX 0,5 - 1 ML",Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0030,IMG-0091,IMG-0162",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0147,SR011,SR011,REPOSIÇÃO POSTERIOR SOCOREX DUPLA,Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0031,IMG-0092,IMG-0163",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0149,SR025,SR025,BICO REPOSIÇÃO SOCOREX,Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0093,IMG-0165",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0150,SR026,SR026,CONEXÃO MANGUEIRA SOCOREX,Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0094,IMG-0166",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0151,SR027,SR027,REPOSIÇÃO PROTEÇÃO CILINDRO SOCOREX,Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0095,IMG-0167",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,marca de terceiro no nome (R-05),S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0152,SR029,SR029,,Componentes e reposição para seringas automáticas,FAM-012,Vacinação e aplicação,reposição,Avicultura,,,,,,,"IMG-0096,IMG-0168",EM_QUARENTENA,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado,MEDIA,SIM
PROD-0163,VR002,VR002,EQUIPO MACROGOTAS INTRAVENOSO,Equipos para aplicação e infusão,FAM-013,Vacinação e aplicação,aplicação,Avicultura,,,,,,,"IMG-0041,IMG-0102,IMG-0177",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0169,VR008,VR008,EQUIPO VETERINÁRIO ENDOVENOSAS,Equipos para aplicação e infusão,FAM-013,Vacinação e aplicação,aplicação,Avicultura,,,,,,,"IMG-0046,IMG-0107,IMG-0183",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0053,BI001,BI001,BICO PULVERIZADOR BV LEQUE VAC SPRAY 65º,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,,,,IMG-0140,EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0054,BI002,BI002,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,VERDE LEQUE 80015 BD,,VERDE LEQUE 80015 BD,IMG-0141,EM_QUARENTENA,CONFLITO,COMPLETO,NAO,divergencia DIV-0105,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0055,BI003,BI003,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,VERMELHO TX-VK6°,,VERMELHO TX-VK6°,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0106,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0056,BI004,BI004,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,LARANJA LEQUE 8001 BD,,LARANJA LEQUE 8001 BD,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0107,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0057,BI005,BI005,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,AMARELO LEQUE 8002 BD,,AMARELO LEQUE 8002 BD,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0108,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0058,BI006,BI006,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,AZUL CONE CHEIO,,AZUL CONE CHEIO,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0109,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0059,BI007,BI007,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,LARANJA RC 80°,,LARANJA RC 80°,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0060,BI999,,BICO PULVERIZADOR,Bicos pulverizadores,FAM-014,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,DIVERSOS - CONSULTAR,,DIVERSOS - CONSULTAR,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0110; nao e SKU: item 'DIVERSOS - CONSULTAR' vira CTA (D-040),S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0153,TB001,TB001,TUBO SILICONE SPRAY,Tubulações e mangueiras,FAM-015,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,,,,"IMG-0033,IMG-0097,IMG-0169",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0154,TB003,TB003,TUBULAÇÃO PU CRISTAL,Tubulações e mangueiras,FAM-015,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,10 MM,,10 MM,"IMG-0034,IMG-0170",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0155,TB004,TB004,TUBULAÇÃO PU CRISTAL,Tubulações e mangueiras,FAM-015,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,6 MM,,6 MM,"IMG-0035,IMG-0098",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0156,TB005,TB005,TUBULAÇÃO SILICONE 8 MM,Tubulações e mangueiras,FAM-015,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,,,,"IMG-0036,IMG-0171",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0157,TB007,TB007,TUBULAÇÃO PU CRISTAL,Tubulações e mangueiras,FAM-015,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,12 MM,,12 MM,IMG-0099,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0075,CN001,CN001,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 1/2 TB 10MM,,L 1/2 TB 10MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0076,CN002,CN002,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 1/4 TB 10MM C/ ABA,,L 1/4 TB 10MM C/ ABA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0077,CN003,CN003,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 1/4 TB 6 MM C/ ABA,,L 1/4 TB 6 MM C/ ABA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0078,CN004,CN004,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,"L 1/8 X 4,5 MM",,"L 1/8 X 4,5 MM",,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0079,CN005,CN005,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 1/8 TB 6MM C/ ABA,,L 1/8 TB 6MM C/ ABA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0080,CN006,CN006,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,"L 1/8 X 4,5 MM",,"L 1/8 X 4,5 MM",,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0081,CN007,CN007,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 3/8 TB 6MM C/ ABA,,L 3/8 TB 6MM C/ ABA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0082,CN008,CN008,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 3/8 X TB 10MM,,L 3/8 X TB 10MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0093,CN019,CN019,,Conexões em L,FAM-016,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,L 1/4 TB 12 MM,,L 1/4 TB 12 MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
