produto_audit_id,sku,familia_provisoria,image_id,tipo_de_relacao,status_imagem,uso_recomendado,pendencia,prioridade
PROD-0097,CO001,CO,IMG-0080,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0097,CO001,CO,IMG-0151,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0098,CO002,CO,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0099,CO003,CO,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0100,CO004,CO,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0101,LM001,LM,IMG-0152,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0102,LM002,LM,IMG-0021,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0102,LM002,LM,IMG-0153,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0103,LM003,LM,IMG-0081,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0103,LM003,LM,IMG-0154,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0104,PE004,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0105,PE006,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0106,PE007,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0107,PE008,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0108,PE009,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0109,PE010,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0110,PE013,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0111,PE016,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0112,PE028,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0113,PE029,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0114,PE030,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0115,PE031,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0116,PE037,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0117,PE039,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0118,PE041,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0119,PE045,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0120,PE047,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0121,PE048,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0122,PE062,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0123,PE063,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0124,PE064,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0125,PE065,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0126,PE066,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0127,PE075,PE,IMG-0082,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0128,PE076,PE,IMG-0083,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0129,PE077,PE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0130,PE078,PE,IMG-0084,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0131,PE079,PE,IMG-0085,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0132,SE001,SE,IMG-0086,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0132,SE001,SE,IMG-0155,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0133,SE002,SE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0134,SE003,SE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0135,SE004,SE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0136,SE005,SE,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0137,SR001,SR,IMG-0022,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0137,SR001,SR,IMG-0156,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0138,SR002,SR,IMG-0023,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0138,SR002,SR,IMG-0157,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0139,SR003,SR,IMG-0024,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0139,SR003,SR,IMG-0087,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0139,SR003,SR,IMG-0158,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0140,SR004,SR,IMG-0025,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0140,SR004,SR,IMG-0088,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0140,SR004,SR,IMG-0159,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0141,SR005,SR,IMG-0026,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0141,SR005,SR,IMG-0089,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0141,SR005,SR,IMG-0160,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0142,SR006,SR,IMG-0027,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0143,SR007,SR,IMG-0090,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0143,SR007,SR,IMG-0161,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0144,SR008,SR,IMG-0028,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0145,SR009,SR,IMG-0029,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0146,SR010,SR,IMG-0030,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0146,SR010,SR,IMG-0091,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0146,SR010,SR,IMG-0162,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0147,SR011,SR,IMG-0031,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0147,SR011,SR,IMG-0092,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0147,SR011,SR,IMG-0163,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0148,SR012,SR,IMG-0032,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0148,SR012,SR,IMG-0164,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0149,SR025,SR,IMG-0093,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0149,SR025,SR,IMG-0165,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0150,SR026,SR,IMG-0094,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0150,SR026,SR,IMG-0166,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0151,SR027,SR,IMG-0095,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0151,SR027,SR,IMG-0167,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0152,SR029,SR,IMG-0096,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0152,SR029,SR,IMG-0168,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0153,TB001,TB,IMG-0033,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0153,TB001,TB,IMG-0097,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
