family_id,nome_familia_provisorio,aplicacao,tipo,vocabulario_controlado,indexavel,tipo_de_evidencia,nivel_de_confianca,status
FAM-008,Kits de reparo para seringas automáticas,reposição,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-009,Seringas descartáveis,aplicação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-009,Seringas descartáveis,vacinação,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-010,Seringas automáticas de precisão (linha importada),vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-010,Seringas automáticas de precisão (linha importada),aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-011,Cilindros graduados para seringas automáticas,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-011,Cilindros graduados para seringas automáticas,reposição,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-011,Cilindros graduados para seringas automáticas,manutenção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-012,Componentes e reposição para seringas automáticas,reposição,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-012,Componentes e reposição para seringas automáticas,manutenção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-012,Componentes e reposição para seringas automáticas,vacinação,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-013,Equipos para aplicação e infusão,aplicação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-013,Equipos para aplicação e infusão,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-014,Bicos pulverizadores,pulverização,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-014,Bicos pulverizadores,vacinação,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-014,Bicos pulverizadores,biossegurança,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-015,Tubulações e mangueiras,circulação de fluidos,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-015,Tubulações e mangueiras,pulverização,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-015,Tubulações e mangueiras,manutenção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-016,Conexões em L,circulação de fluidos,PRINCIPAL,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-016,Conexões em L,ar comprimido,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-016,Conexões em L,manutenção,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-017,Conexões retas e passa-muros,circulação de fluidos,PRINCIPAL,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-017,Conexões retas e passa-muros,ar comprimido,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-017,Conexões retas e passa-muros,manutenção,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-018,Conexões em T,circulação de fluidos,PRINCIPAL,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-018,Conexões em T,ar comprimido,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-018,Conexões em T,manutenção,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-020,Sistemas de pulverização (carrinho e galpão),pulverização,PRINCIPAL,SIM,SIM,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-020,Sistemas de pulverização (carrinho e galpão),biossegurança,SECUNDARIA,SIM,NAO,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-020,Sistemas de pulverização (carrinho e galpão),vacinação,SECUNDARIA,SIM,SIM,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-022,Balanças suspensas e dinamômetros para aves,pesagem,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-022,Balanças suspensas e dinamômetros para aves,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-022,Balanças suspensas e dinamômetros para aves,monitoramento,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-023,Balanças eletrônicas para aves,pesagem,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-023,Balanças eletrônicas para aves,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-023,Balanças eletrônicas para aves,monitoramento,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-024,Balanças para ovos,pesagem,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-024,Balanças para ovos,incubação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-024,Balanças para ovos,inspeção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-025,Balanças de precisão de bolso,pesagem,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-025,Balanças de precisão de bolso,medição,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-026,Termômetros,controle de temperatura,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-026,Termômetros,medição,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-026,Termômetros,monitoramento,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-026,Termômetros,inspeção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-027,Medidores e testes de qualidade da água,qualidade da água,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-027,Medidores e testes de qualidade da água,medição,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-027,Medidores e testes de qualidade da água,hidratação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-027,Medidores e testes de qualidade da água,biossegurança,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-028,Testes de qualidade do ambiente,qualidade do ambiente,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-028,Testes de qualidade do ambiente,medição,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-028,Testes de qualidade do ambiente,monitoramento,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-029,Equipamentos para ovoscopia,ovoscopia,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-029,Equipamentos para ovoscopia,incubação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-029,Equipamentos para ovoscopia,inspeção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-030,Câmeras termográficas,monitoramento,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-030,Câmeras termográficas,controle de temperatura,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-030,Câmeras termográficas,inspeção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-031,Lâminas para debicagem,debicagem,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-031,Lâminas para debicagem,reposição,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-031,Lâminas para debicagem,manutenção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-033,Bebedouros pendulares para aves,hidratação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-033,Bebedouros pendulares para aves,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-033,Bebedouros pendulares para aves,alimentação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-034,Comedouros para aves,alimentação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-034,Comedouros para aves,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-035,Niples para bebedouro,hidratação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-035,Niples para bebedouro,reposição,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-035,Niples para bebedouro,manutenção,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-036,Armadilhas para roedores,controle de pragas,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-036,Armadilhas para roedores,biossegurança,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-037,Adesivos e colas para captura,controle de pragas,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-037,Adesivos e colas para captura,biossegurança,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-038,Contadores manuais para aves,manejo,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-038,Contadores manuais para aves,monitoramento,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-039,Consumíveis de assepsia e apoio,biossegurança,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-039,Consumíveis de assepsia e apoio,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-039,Consumíveis de assepsia e apoio,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-040,Conjunto para aplicação de tuberculina,aplicação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-040,Conjunto para aplicação de tuberculina,vacinação,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-040,Conjunto para aplicação de tuberculina,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-041,Monitores e analisadores portáteis,monitoramento,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-041,Monitores e analisadores portáteis,medição,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-041,Monitores e analisadores portáteis,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-042,Seringas para insulina,aplicação,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-042,Seringas para insulina,manejo,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-043,Imãs intra-ruminais,manejo,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-043,Imãs intra-ruminais,biossegurança,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
