audit_id,source_id,source_location,sku_original,nome_original,nome_publico_atual,campo_interno_marca,marca_publicamente_exposta,categoria_original,familia_provisoria,variacao,medida,capacidade,unidade,aplicacao_confirmada,segmento_confirmado,imagem_encontrada,imagem_id,dados_completos,duplicidade_suspeita,divergencia,nivel_confianca,publicar_no_futuro,requer_revisao,observacoes
PROD-0011,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG011,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,10 X 10,10 X 10,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0056,IMG-0118",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0012,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG012,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,10 X 12,10 X 12,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0057,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0013,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG013,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,10 X 08,10 X 08,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0014,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG014,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,07 X 10,07 X 10,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0015,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG015,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,08 X 08,08 X 08,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0016,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG016,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,06 X 10,06 X 10,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,SIM,SIM,BAIXA,PENDENTE,SIM,valores divergentes: 06 X 10/10 X 10
PROD-0017,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG017,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,06 X 08,06 X 08,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0018,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG018,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,12 X 12,12 X 12,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0019,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG019,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,12 X 10,12 X 10,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: 12 X 10/12 X10 AGULHA APLICADOR
PROD-0020,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AG020,AGULHA QUADRADA,AGULHA QUADRADA,,NAO_OBSERVADA,AGULHA,AG,10 X 10,10 X 10,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0110,IMG-0119",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0021,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG021,AGULHA APLICADOR PARA VACINA,AGULHA APLICADOR PARA VACINA,,NAO_OBSERVADA,AGULHA,AG,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0120,NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0022,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG022,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,04 X 08,04 X 08,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: 04 X 08/04 X 08 PARA VACINA/10 X 08
PROD-0023,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AG023,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,08 X 10,08 X 10,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0024,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AG024,AGULHA INOX,AGULHA INOX,,NAO_OBSERVADA,AGULHA,AG,12 X 8,12 X 8,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0025,S-02/CSV, csv,AG025,AGULHA QUADRADA,AGULHA QUADRADA,,NAO_OBSERVADA,AGULHA,AG,10 X 08,10 X 08,,DZ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0026,S-03/PDF-publicado,pdf-publicado p2,AG026,,,,NAO_OBSERVADA,,AG,10X08,10X08,,,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,NAO,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0027,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,AR001,ARMADILHA PARA ROEDORES,ARMADILHA PARA ROEDORES,,NAO_OBSERVADA,ARMADILHAS,AR,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0001,IMG-0058,IMG-0121",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0028,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,AR002,ADESIVO PARA ROEDORES,ADESIVO PARA ROEDORES,,NAO_OBSERVADA,ARMADILHAS,AR,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0002,IMG-0059,IMG-0122",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0029,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,AR003,ARMADILHA TÚNEL,ARMADILHA TÚNEL,,NAO_OBSERVADA,ARMADILHAS,AR,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0003,IMG-0060,IMG-0123",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0030,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,AR004,ADESIVO COLA 450x155MM,ADESIVO COLA 450x155MM,,NAO_OBSERVADA,ARMADILHAS,AR,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0004,IMG-0061,IMG-0124",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0031,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AZ001,SERINGA DUPLA AVIZEE FLUXO CONTÍNUO,SERINGA DUPLA AVIZEE FLUXO CONTÍNUO,,NAO_OBSERVADA,AVIZEE,AZ,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0005,IMG-0125",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0032,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AZ002,SERINGA AVIZEE FLUXO CONTÍNUO,SERINGA AVIZEE FLUXO CONTÍNUO,,NAO_OBSERVADA,AVIZEE,AZ,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0006,IMG-0126",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0033,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AZ003,SERINGA AVIZEE BOUBA AVIÁRIA,SERINGA AVIZEE BOUBA AVIÁRIA,,NAO_OBSERVADA,AVIZEE,AZ,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0007,IMG-0127",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0034,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AZ004,VACINADORA AVIZEE COM PORTA FRASCO,VACINADORA AVIZEE COM PORTA FRASCO,,NAO_OBSERVADA,AVIZEE,AZ,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0128,NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0035,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AZ005,KIT REPARO DA SERINGA AVIZEE,KIT REPARO DA SERINGA AVIZEE,,NAO_OBSERVADA,AVIZEE,AZ,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0008,IMG-0129",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0036,S-02/CSV|S-03/PDF-publicado,pdf-publicado p2 csv,AZ006,KIT DE REPARO SERINGA AVIZEE BOUBA AVIÁRIA,KIT DE REPARO SERINGA AVIZEE BOUBA AVIÁRIA,,NAO_OBSERVADA,AVIZEE,AZ,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0009,IMG-0130",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0037,S-02/CSV|S-03/PDF-publicado,pdf-publicado p3 csv,BA003,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA,,NAO_OBSERVADA,BALANÇA,BA,40 KG,40 KG,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0062,IMG-0131",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0038,S-02/CSV|S-03/PDF-publicado,pdf-publicado p3 csv,BA004,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA,,NAO_OBSERVADA,BALANÇA,BA,50 KG,50 KG,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0063,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0039,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 pdf-complementar p2 csv,BA005,BALANCA ELETRONICA PARA AVES,BALANCA ELETRONICA PARA AVES,,NAO_OBSERVADA,BALANÇA,BA,10 KG / 10 GR,10 KG / 10 GR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0011,IMG-0132",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0040,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 pdf-complementar p2 csv,BA006,BALANCA ELETRONICA PARA AVES,BALANCA ELETRONICA PARA AVES,,NAO_OBSERVADA,BALANÇA,BA,5 KG / 5 GR,5 KG / 5 GR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0012,IMG-0064",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0041,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 pdf-complementar p2 csv,BA007,BALANÇA ELETRÔNICA PARA OVOS,BALANÇA ELETRÔNICA PARA OVOS,,NAO_OBSERVADA,BALANÇA,BA,"120GR/0,1GR","120GR/0,1GR",,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0133,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0042,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 pdf-complementar p2 csv,BA008,BALANÇA S DINAMÔMETRO AVES,BALANÇA S DINAMÔMETRO AVES,,NAO_OBSERVADA,BALANÇA,BA,5 KG / 20 GR,5 KG / 20 GR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0134,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0043,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 pdf-complementar p2 csv,BA009,BALANCA ELETRONICA PARA AVES,BALANCA ELETRONICA PARA AVES,,NAO_OBSERVADA,BALANÇA,BA,15 KG / 20 GR,15 KG / 20 GR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0065,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0044,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p3 pdf-complementar p2 csv,BA010,BALANCA ELETRONICA PARA AVES,BALANCA ELETRONICA PARA AVES,,NAO_OBSERVADA,BALANÇA,BA,50 KG / 50 GR,50 KG / 50 GR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0013,IMG-0066",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0045,S-02/CSV, csv,BA011,MINI BALANÇA ELETRONICA PARA OVOS,MINI BALANÇA ELETRONICA PARA OVOS,,NAO_OBSERVADA,BALANÇA,BA,"500GR/0,1GR","500GR/0,1GR",,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0014,IMG-0135",SIM,NAO,NAO,MEDIA,CANDIDATO,SIM,
PROD-0046,S-02/CSV|S-03/PDF-publicado,pdf-publicado p3 csv,BA012,MINI BALANÇA DIGITAL DE BOLSO E ALTA PRECISÃO,MINI BALANÇA DIGITAL DE BOLSO E ALTA PRECISÃO,,NAO_OBSERVADA,BALANÇA,BA,100 G,100 G,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0136,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0047,S-02/CSV|S-03/PDF-publicado,pdf-publicado p3 csv,BA013,BALANCA ELETRONICA PARA AVES,BALANCA ELETRONICA PARA AVES,,NAO_OBSERVADA,BALANÇA,BA,50 KG / 20 GR,50 KG / 20 GR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0015,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0048,S-02/CSV|S-03/PDF-publicado,pdf-publicado p3 csv,BA014,BALANÇA ELETRÔNICA PARA OVOS ALTA PRECISÃO,BALANÇA ELETRÔNICA PARA OVOS ALTA PRECISÃO,,NAO_OBSERVADA,BALANÇA,BA,500G,500G,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0016,IMG-0067,IMG-0137",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0049,S-02/CSV|S-03/PDF-publicado,pdf-publicado p4 csv,BB001,BEBEDOUROS PARA AVES COM GANCHO DE METAL,BEBEDOUROS PARA AVES COM GANCHO DE METAL,,NAO_OBSERVADA,BEBEDOURO,BB,10 L,10 L,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0068,IMG-0138",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0050,S-02/CSV|S-03/PDF-publicado,pdf-publicado p4 csv,BB002,BEBEDOUROS PARA AVES COM GANCHO DE METAL,BEBEDOUROS PARA AVES COM GANCHO DE METAL,,NAO_OBSERVADA,BEBEDOURO,BB,6 L,6 L,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0069,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0051,S-02/CSV|S-03/PDF-publicado,pdf-publicado p4 csv,BB003,BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,,NAO_OBSERVADA,BEBEDOURO,BB,"1,5 L","1,5 L",,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0070,IMG-0139",SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0052,S-02/CSV|S-03/PDF-publicado,pdf-publicado p4 csv,BB004,BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,,NAO_OBSERVADA,BEBEDOURO,BB,3 L,3 L,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0071,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0053,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI001,BICO PULVERIZADOR BV LEQUE VAC SPRAY 65º,BICO PULVERIZADOR BV LEQUE VAC SPRAY 65º,,NAO_OBSERVADA,BICO,BI,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0140,NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0054,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI002,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,VERDE LEQUE 80015 BD,VERDE LEQUE 80015 BD,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0141,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: BICO PULVERIZ VERDE LEQUE/VERDE LEQUE 80015 BD
PROD-0055,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI003,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,VERMELHO TX-VK6°,VERMELHO TX-VK6°,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: BICO PULVERIZADOR/VERMELHO TX-VK6°
PROD-0056,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI004,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,LARANJA LEQUE 8001 BD,LARANJA LEQUE 8001 BD,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: BICO PULVERIZADOR/LARANJA LEQUE 8001 BD
PROD-0057,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI005,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,AMARELO LEQUE 8002 BD,AMARELO LEQUE 8002 BD,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: AMARELO LEQUE 8002 BD/BICO PULVERIZADOR
PROD-0058,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI006,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,AZUL CONE CHEIO,AZUL CONE CHEIO,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,SIM,SIM,BAIXA,PENDENTE,SIM,valores divergentes: AZUL CONE CHEIO/BICO PULVERIZADOR AZUL/LARANJA RC 80°
PROD-0059,S-02/CSV, csv,BI007,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,LARANJA RC 80°,LARANJA RC 80°,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0060,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p4 pdf-complementar p3 csv,BI999,BICO PULVERIZADOR,BICO PULVERIZADOR,,NAO_OBSERVADA,BICO,BI,DIVERSOS - CONSULTAR,DIVERSOS - CONSULTAR,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: BICO PULVERIZADOR/DIVERSOS - CONSULTAR
PROD-0061,S-03/PDF-complementar, pdf-complementar p9,BO001,,,,NAO_OBSERVADA,,BO,,,,,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,NAO,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0062,S-03/PDF-complementar, pdf-complementar p9,BO002,,,,NAO_OBSERVADA,,BO,,,,,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,NAO,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0063,S-03/PDF-complementar, pdf-complementar p9,BO003,,,,NAO_OBSERVADA,,BO,,,,,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,NAO,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0064,S-03/PDF-complementar, pdf-complementar p3,BT001,,,,NAO_OBSERVADA,,BT,SPRAY CARRINHO,SPRAY CARRINHO,,,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,NAO,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0065,S-03/PDF-complementar, pdf-complementar p3,BT002,,,,NAO_OBSERVADA,,BT,SPRAY GALPÃO,SPRAY GALPÃO,,,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,NAO,NAO,NAO,MEDIA,PENDENTE,SIM,
PROD-0066,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,BV001,BARRA DOSADORA TUBERCULINA,BARRA DOSADORA TUBERCULINA,,NAO_OBSERVADA,BOVINOCULTURA,BV,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0072,IMG-0142",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0067,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,BV002,KIT DE REPARO TUBERCULINA,KIT DE REPARO TUBERCULINA,,NAO_OBSERVADA,BOVINOCULTURA,BV,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0017,IMG-0073,IMG-0143",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0068,S-02/CSV|S-03/PDF-publicado,pdf-publicado p8 csv,BV003,CILINDRO GRADUADO TUBERCULINA,CILINDRO GRADUADO TUBERCULINA,,NAO_OBSERVADA,BOVINOCULTURA,BV,,,,PÇ,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,"IMG-0074,IMG-0144",NAO,NAO,NAO,ALTA,CANDIDATO,NAO,
